"﻿日平均氣溫(攝氏度) - 天文台"
"Daily Mean Temperature (°C) at the Hong Kong Observatory"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2010,1,1,16.2,C
2010,1,2,17.4,C
2010,1,3,17.0,C
2010,1,4,17.9,C
2010,1,5,17.3,C
2010,1,6,15.8,C
2010,1,7,13.7,C
2010,1,8,13.7,C
2010,1,9,15.1,C
2010,1,10,17.4,C
2010,1,11,15.0,C
2010,1,12,12.1,C
2010,1,13,12.9,C
2010,1,14,14.5,C
2010,1,15,15.8,C
2010,1,16,16.7,C
2010,1,17,16.5,C
2010,1,18,16.9,C
2010,1,19,18.1,C
2010,1,20,21.3,C
2010,1,21,22.3,C
2010,1,22,18.3,C
2010,1,23,15.5,C
2010,1,24,15.7,C
2010,1,25,18.4,C
2010,1,26,16.1,C
2010,1,27,16.9,C
2010,1,28,19.4,C
2010,1,29,18.4,C
2010,1,30,18.6,C
2010,1,31,21.4,C
2010,2,1,21.6,C
2010,2,2,19.0,C
2010,2,3,18.2,C
2010,2,4,17.2,C
2010,2,5,17.4,C
2010,2,6,17.5,C
2010,2,7,17.1,C
2010,2,8,18.0,C
2010,2,9,21.6,C
2010,2,10,24.1,C
2010,2,11,25.0,C
2010,2,12,16.7,C
2010,2,13,13.2,C
2010,2,14,15.4,C
2010,2,15,12.6,C
2010,2,16,10.2,C
2010,2,17,9.7,C
2010,2,18,9.1,C
2010,2,19,9.5,C
2010,2,20,13.2,C
2010,2,21,15.9,C
2010,2,22,17.7,C
2010,2,23,20.1,C
2010,2,24,22.3,C
2010,2,25,24.5,C
2010,2,26,24.6,C
2010,2,27,24.7,C
2010,2,28,23.9,C
2010,3,1,22.1,C
2010,3,2,24.6,C
2010,3,3,24.7,C
2010,3,4,24.5,C
2010,3,5,25.8,C
2010,3,6,25.7,C
2010,3,7,18.9,C
2010,3,8,16.7,C
2010,3,9,10.5,C
2010,3,10,12.1,C
2010,3,11,15.4,C
2010,3,12,16.8,C
2010,3,13,18.8,C
2010,3,14,20.0,C
2010,3,15,22.9,C
2010,3,16,19.2,C
2010,3,17,19.0,C
2010,3,18,20.9,C
2010,3,19,21.2,C
2010,3,20,21.9,C
2010,3,21,22.7,C
2010,3,22,21.5,C
2010,3,23,22.9,C
2010,3,24,24.4,C
2010,3,25,16.7,C
2010,3,26,17.5,C
2010,3,27,18.3,C
2010,3,28,19.9,C
2010,3,29,18.5,C
2010,3,30,19.0,C
2010,3,31,21.6,C
2010,4,1,23.0,C
2010,4,2,21.2,C
2010,4,3,18.1,C
2010,4,4,18.8,C
2010,4,5,20.5,C
2010,4,6,22.9,C
2010,4,7,19.6,C
2010,4,8,17.3,C
2010,4,9,19.3,C
2010,4,10,19.3,C
2010,4,11,23.6,C
2010,4,12,26.1,C
2010,4,13,24.6,C
2010,4,14,19.1,C
2010,4,15,16.6,C
2010,4,16,16.5,C
2010,4,17,18.4,C
2010,4,18,19.2,C
2010,4,19,22.0,C
2010,4,20,23.3,C
2010,4,21,26.0,C
2010,4,22,24.4,C
2010,4,23,21.0,C
2010,4,24,21.4,C
2010,4,25,20.6,C
2010,4,26,21.8,C
2010,4,27,21.6,C
2010,4,28,22.8,C
2010,4,29,21.1,C
2010,4,30,21.3,C
2010,5,1,23.5,C
2010,5,2,24.8,C
2010,5,3,24.2,C
2010,5,4,24.1,C
2010,5,5,25.9,C
2010,5,6,27.3,C
2010,5,7,25.3,C
2010,5,8,25.6,C
2010,5,9,27.0,C
2010,5,10,23.9,C
2010,5,11,23.9,C
2010,5,12,24.0,C
2010,5,13,23.9,C
2010,5,14,24.5,C
2010,5,15,23.9,C
2010,5,16,24.1,C
2010,5,17,25.2,C
2010,5,18,27.3,C
2010,5,19,26.0,C
2010,5,20,25.9,C
2010,5,21,28.5,C
2010,5,22,29.0,C
2010,5,23,26.0,C
2010,5,24,25.6,C
2010,5,25,25.9,C
2010,5,26,26.6,C
2010,5,27,26.1,C
2010,5,28,26.9,C
2010,5,29,27.0,C
2010,5,30,26.5,C
2010,5,31,24.7,C
2010,6,1,24.2,C
2010,6,2,21.7,C
2010,6,3,22.7,C
2010,6,4,24.7,C
2010,6,5,24.9,C
2010,6,6,25.2,C
2010,6,7,25.5,C
2010,6,8,25.6,C
2010,6,9,25.6,C
2010,6,10,25.4,C
2010,6,11,27.2,C
2010,6,12,28.1,C
2010,6,13,28.4,C
2010,6,14,29.3,C
2010,6,15,29.3,C
2010,6,16,29.4,C
2010,6,17,29.7,C
2010,6,18,29.8,C
2010,6,19,29.7,C
2010,6,20,29.5,C
2010,6,21,29.6,C
2010,6,22,29.3,C
2010,6,23,28.0,C
2010,6,24,29.0,C
2010,6,25,28.8,C
2010,6,26,26.1,C
2010,6,27,25.6,C
2010,6,28,25.5,C
2010,6,29,27.3,C
2010,6,30,29.1,C
2010,7,1,29.5,C
2010,7,2,30.0,C
2010,7,3,30.1,C
2010,7,4,30.1,C
2010,7,5,30.1,C
2010,7,6,30.0,C
2010,7,7,30.2,C
2010,7,8,30.6,C
2010,7,9,29.8,C
2010,7,10,29.8,C
2010,7,11,30.0,C
2010,7,12,30.2,C
2010,7,13,29.9,C
2010,7,14,30.2,C
2010,7,15,29.2,C
2010,7,16,27.6,C
2010,7,17,27.7,C
2010,7,18,28.1,C
2010,7,19,29.7,C
2010,7,20,29.5,C
2010,7,21,27.4,C
2010,7,22,27.2,C
2010,7,23,27.6,C
2010,7,24,28.3,C
2010,7,25,29.2,C
2010,7,26,29.2,C
2010,7,27,27.9,C
2010,7,28,26.9,C
2010,7,29,28.5,C
2010,7,30,29.6,C
2010,7,31,30.1,C
2010,8,1,30.0,C
2010,8,2,29.4,C
2010,8,3,29.1,C
2010,8,4,30.0,C
2010,8,5,29.4,C
2010,8,6,28.4,C
2010,8,7,28.8,C
2010,8,8,28.8,C
2010,8,9,29.6,C
2010,8,10,30.2,C
2010,8,11,28.3,C
2010,8,12,29.3,C
2010,8,13,29.8,C
2010,8,14,29.4,C
2010,8,15,28.1,C
2010,8,16,27.1,C
2010,8,17,28.3,C
2010,8,18,28.6,C
2010,8,19,27.5,C
2010,8,20,28.0,C
2010,8,21,29.4,C
2010,8,22,28.9,C
2010,8,23,28.5,C
2010,8,24,26.5,C
2010,8,25,28.0,C
2010,8,26,28.4,C
2010,8,27,28.8,C
2010,8,28,27.9,C
2010,8,29,29.2,C
2010,8,30,29.7,C
2010,8,31,30.4,C
2010,9,1,31.2,C
2010,9,2,29.5,C
2010,9,3,26.0,C
2010,9,4,26.8,C
2010,9,5,27.8,C
2010,9,6,29.3,C
2010,9,7,29.7,C
2010,9,8,29.9,C
2010,9,9,28.2,C
2010,9,10,28.1,C
2010,9,11,25.5,C
2010,9,12,25.2,C
2010,9,13,26.8,C
2010,9,14,27.2,C
2010,9,15,28.2,C
2010,9,16,28.9,C
2010,9,17,29.1,C
2010,9,18,29.7,C
2010,9,19,30.6,C
2010,9,20,28.3,C
2010,9,21,24.5,C
2010,9,22,25.4,C
2010,9,23,27.0,C
2010,9,24,27.7,C
2010,9,25,27.4,C
2010,9,26,27.6,C
2010,9,27,28.3,C
2010,9,28,28.6,C
2010,9,29,28.5,C
2010,9,30,27.7,C
2010,10,1,27.6,C
2010,10,2,28.4,C
2010,10,3,28.1,C
2010,10,4,25.5,C
2010,10,5,24.1,C
2010,10,6,24.2,C
2010,10,7,25.4,C
2010,10,8,26.4,C
2010,10,9,25.8,C
2010,10,10,25.0,C
2010,10,11,26.4,C
2010,10,12,27.6,C
2010,10,13,27.6,C
2010,10,14,27.9,C
2010,10,15,26.0,C
2010,10,16,25.2,C
2010,10,17,26.4,C
2010,10,18,26.6,C
2010,10,19,26.1,C
2010,10,20,26.4,C
2010,10,21,25.5,C
2010,10,22,23.6,C
2010,10,23,24.9,C
2010,10,24,25.1,C
2010,10,25,24.9,C
2010,10,26,22.3,C
2010,10,27,20.0,C
2010,10,28,18.7,C
2010,10,29,19.1,C
2010,10,30,19.3,C
2010,10,31,20.0,C
2010,11,1,21.1,C
2010,11,2,21.5,C
2010,11,3,21.2,C
2010,11,4,20.0,C
2010,11,5,17.5,C
2010,11,6,18.8,C
2010,11,7,22.1,C
2010,11,8,22.5,C
2010,11,9,21.4,C
2010,11,10,21.0,C
2010,11,11,21.3,C
2010,11,12,21.7,C
2010,11,13,22.4,C
2010,11,14,22.8,C
2010,11,15,23.4,C
2010,11,16,21.8,C
2010,11,17,21.0,C
2010,11,18,21.6,C
2010,11,19,21.7,C
2010,11,20,21.0,C
2010,11,21,21.4,C
2010,11,22,22.5,C
2010,11,23,21.4,C
2010,11,24,20.9,C
